Month,Date,Island,site,depth_ft,observer,transect,common_name,max_size,count,latin_name,common_family,latin_family,trophic_guild,a,b,biomass_g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,1,white_grunt,30,1,Haemulon_plumierii,grunt,Haemulidae,Invertivore,0.02,2.96,471.3124474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,1,graysby,20,1,Cephalopholis_cruentata,grouper,Serranidae,Macrocarnivore,0.011,3.11,122.3477457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,2,blue_tang,20,1,Acanthurus_coeruleus,surgeonfish,Acanthuridae,Omnivore,0.0324,2.95,223.1431181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,2,striped_parrotfish_initial,10,12,Scarus_iseri,parrotfish,Scaridae,Herbivore,0.0158,3.02,198.5355727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,2,striped_parrotfish_initial,20,2,Scarus_iseri,parrotfish,Scaridae,Herbivore,0.0158,3.02,268.409368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,2,redband_parrotfish_initial,10,7,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,115.6868249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,2,redband_parrotfish_initial,20,1,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,146.7000791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,2,redband_parrotfish_terminal,30,1,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,526.1599821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,2,stoplight_parrotfish_initial,20,1,Sparisoma_viride,parrotfish,Scaridae,Herbivore,0.0257,2.93,166.7059154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,2,stoplight_parrotfish_terminal,40,2,Sparisoma_viride,parrotfish,Scaridae,Herbivore,0.0257,2.93,2540.966232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,2,queen_parrotfish_terminal,50,1,Scarus_vetula,parrotfish,Scaridae,Herbivore,0.01479,3.03,2078.965523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,2,greenblotch_parrotfish_initial,20,1,Sparisoma_atomarium,parrotfish,Scaridae,Herbivore,0.01122,3.09,117.5372549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,2,schoolmaster_snapper,40,1,Lutjanus_apodus,snapper,Lutjanidae,Macrocarnivore,0.0182,3,1164.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,2,french_grunt,30,1,Haemulon_flavolineatum,grunt,Haemulidae,Invertivore,0.0186,2.99,485.4063974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,2,graysby,20,2,Cephalopholis_cruentata,grouper,Serranidae,Macrocarnivore,0.011,3.11,244.6954914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,2,bar_jack,40,1,Caranx_ruber,jack,Carangidae,Invertivore,0.0158,2.99,974.5776804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,3,blue_tang,20,3,Acanthurus_coeruleus,surgeonfish,Acanthuridae,Omnivore,0.0324,2.95,669.4293543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,3,princess_parrotfish_initial,10,1,Scarus_taeniopterus,parrotfish,Scaridae,Herbivore,0.01479,3.03,15.84777052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,3,redband_parrotfish_initial,10,3,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,49.58006782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,3,french_grunt,20,4,Haemulon_flavolineatum,grunt,Haemulidae,Invertivore,0.0186,2.99,577.6338329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,3,graysby,30,1,Cephalopholis_cruentata,grouper,Serranidae,Macrocarnivore,0.011,3.11,431.7573976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,4,foureye_butterflyfish,10,1,Chaetodon_capistratus,butterflyfish,Chaetodontidae,Invertivore,0.0234,3.19,36.24230888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,4,blue_tang,10,1,Acanthurus_coeruleus,surgeonfish,Acanthuridae,Omnivore,0.0324,2.95,28.8765304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,4,blue_tang,20,3,Acanthurus_coeruleus,surgeonfish,Acanthuridae,Omnivore,0.0324,2.95,669.4293543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,4,blue_tang,30,1,Acanthurus_coeruleus,surgeonfish,Acanthuridae,Omnivore,0.0324,2.95,737.9937972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,4,princess_parrotfish_initial,20,1,Scarus_taeniopterus,parrotfish,Scaridae,Herbivore,0.01479,3.03,129.446127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,4,princess_parrotfish_terminal,30,3,Scarus_taeniopterus,parrotfish,Scaridae,Herbivore,0.01479,3.03,1326.681981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,4,striped_parrotfish_initial,10,2,Scarus_iseri,parrotfish,Scaridae,Herbivore,0.0158,3.02,33.08926212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,4,striped_parrotfish_initial,20,4,Scarus_iseri,parrotfish,Scaridae,Herbivore,0.0158,3.02,536.8187361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,4,striped_parrotfish_terminal,30,2,Scarus_iseri,parrotfish,Scaridae,Herbivore,0.0158,3.02,913.2575513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,4,redband_parrotfish_initial,20,2,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,293.4001583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,4,redband_parrotfish_initial,30,4,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,2104.639929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,4,stoplight_parrotfish_initial,10,1,Sparisoma_viride,parrotfish,Scaridae,Herbivore,0.0257,2.93,21.87424758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,4,stoplight_parrotfish_initial,20,1,Sparisoma_viride,parrotfish,Scaridae,Herbivore,0.0257,2.93,166.7059154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,4,queen_parrotfish_initial,30,1,Scarus_vetula,parrotfish,Scaridae,Herbivore,0.01479,3.03,442.2273269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,4,bermuda_chub,50,1,Kyphosus_sectatrix,chub,Kyphosidae,Omnivore,0.0138,3.03,1939.805559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,4,french_grunt,30,1,Haemulon_flavolineatum,grunt,Haemulidae,Invertivore,0.0186,2.99,485.4063974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,4,graysby,30,3,Cephalopholis_cruentata,grouper,Serranidae,Macrocarnivore,0.011,3.11,1295.272193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,5,foureye_butterflyfish,10,2,Chaetodon_capistratus,butterflyfish,Chaetodontidae,Invertivore,0.0234,3.19,72.48461777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,5,blue_tang,20,1,Acanthurus_coeruleus,surgeonfish,Acanthuridae,Omnivore,0.0324,2.95,223.1431181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,5,striped_parrotfish_initial,10,1,Scarus_iseri,parrotfish,Scaridae,Herbivore,0.0158,3.02,16.54463106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,5,striped_parrotfish_initial,20,4,Scarus_iseri,parrotfish,Scaridae,Herbivore,0.0158,3.02,536.8187361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,5,striped_parrotfish_terminal,30,1,Scarus_iseri,parrotfish,Scaridae,Herbivore,0.0158,3.02,456.6287756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,5,redband_parrotfish_initial,10,2,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,33.05337854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,5,redband_parrotfish_initial,20,1,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,146.7000791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,5,redband_parrotfish_initial,30,1,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,526.1599821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,5,stoplight_parrotfish_initial,10,1,Sparisoma_viride,parrotfish,Scaridae,Herbivore,0.0257,2.93,21.87424758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,5,stoplight_parrotfish_terminal,40,1,Sparisoma_viride,parrotfish,Scaridae,Herbivore,0.0257,2.93,1270.483116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,5,queen_parrotfish_terminal,40,2,Scarus_vetula,parrotfish,Scaridae,Herbivore,0.01479,3.03,2114.657044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,5,french_grunt,30,3,Haemulon_flavolineatum,grunt,Haemulidae,Invertivore,0.0186,2.99,1456.219192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,5,graysby,20,2,Cephalopholis_cruentata,grouper,Serranidae,Macrocarnivore,0.011,3.11,244.6954914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,5,graysby,30,1,Cephalopholis_cruentata,grouper,Serranidae,Macrocarnivore,0.011,3.11,431.7573976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,5,spanish_hogfish,30,1,Bodianus_rufus,hogfish,Labridae,Invertivore,0.0166,3.08,588.3578504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,6,rock_beauty,30,1,Holocanthus_tricolor,angelfish,Pomacanthidae,Invertivore,0.0331,2.95,753.9381077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,6,princess_parrotfish_initial,10,2,Scarus_taeniopterus,parrotfish,Scaridae,Herbivore,0.01479,3.03,31.69554105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,6,princess_parrotfish_terminal,30,1,Scarus_taeniopterus,parrotfish,Scaridae,Herbivore,0.01479,3.03,442.2273269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,6,redband_parrotfish_initial,20,1,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,146.7000791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,6,stoplight_parrotfish_initial,10,1,Sparisoma_viride,parrotfish,Scaridae,Herbivore,0.0257,2.93,21.87424758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,6,stoplight_parrotfish_initial,20,1,Sparisoma_viride,parrotfish,Scaridae,Herbivore,0.0257,2.93,166.7059154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,6,queen_parrotfish_initial,20,1,Scarus_vetula,parrotfish,Scaridae,Herbivore,0.01479,3.03,129.446127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,6,queen_parrotfish_initial,30,3,Scarus_vetula,parrotfish,Scaridae,Herbivore,0.01479,3.03,1326.681981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,6,yellowtail_parrotfish_(redfin),40,1,Sparisoma_rubripinne,parrotfish,Scaridae,Herbivore,0.0178,3.02,1226.425512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,6,midnight_parrotfish,50,1,Scarus_coelestinus,parrotfish,Scaridae,Herbivore,0.017,3.04,2484.950457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,6,white_spotted_filefish,30,1,Cantherhines_macrocerus,filefish,Monacanthidae,Omnivore,0.0288,2.94,634.0579856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,6,bar_jack,30,1,Caranx_ruber,jack,Carangidae,Invertivore,0.0158,2.99,412.3344666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,7,blue_tang,30,2,Acanthurus_coeruleus,surgeonfish,Acanthuridae,Omnivore,0.0324,2.95,1475.987594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,7,princess_parrotfish_terminal,30,1,Scarus_taeniopterus,parrotfish,Scaridae,Herbivore,0.01479,3.03,442.2273269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,7,princess_parrotfish_terminal,40,1,Scarus_taeniopterus,parrotfish,Scaridae,Herbivore,0.01479,3.03,1057.328522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,7,redband_parrotfish_initial,20,3,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,440.1002374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,7,redband_parrotfish_initial,30,1,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,526.1599821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,7,stoplight_parrotfish_initial,20,1,Sparisoma_viride,parrotfish,Scaridae,Herbivore,0.0257,2.93,166.7059154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,7,bermuda_chub,40,2,Kyphosus_sectatrix,chub,Kyphosidae,Omnivore,0.0138,3.03,1973.107993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,7,yellowtail_snapper,30,12,Ocyurus_chrysurus,snapper,Lutjanidae,Macrocarnivore,0.0295,2.79,4679.199508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,7,sailors_choice,30,1,Haemulon_parra,grunt,Haemulidae,Invertivore,0.0174,3.04,538.2671334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,7,caesar_grunt,20,1,Haemulon_carbonarium,grunt,Haemulidae,Invertivore,0.01622,2.99,125.9303867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,7,caesar_grunt,30,20,Haemulon_carbonarium,grunt,Haemulidae,Invertivore,0.01622,2.99,8465.905125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,7,coney,30,3,Cephalopholis_fulva,grouper,Serranidae,Omnivore,0.0148,3.04,1373.509237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,8,blue_tang,30,3,Acanthurus_coeruleus,surgeonfish,Acanthuridae,Omnivore,0.0324,2.95,2213.981392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,8,princess_parrotfish_initial,20,1,Scarus_taeniopterus,parrotfish,Scaridae,Herbivore,0.01479,3.03,129.446127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,8,princess_parrotfish_terminal,40,1,Scarus_taeniopterus,parrotfish,Scaridae,Herbivore,0.01479,3.03,1057.328522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,8,princess_parrotfish_terminal,50,3,Scarus_taeniopterus,parrotfish,Scaridae,Herbivore,0.01479,3.03,6236.896569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,8,redband_parrotfish_initial,10,1,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,16.52668927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,8,redband_parrotfish_initial,20,1,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,146.7000791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,8,redband_parrotfish_initial,30,1,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,526.1599821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,8,queen_parrotfish_initial,30,1,Scarus_vetula,parrotfish,Scaridae,Herbivore,0.01479,3.03,442.2273269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,8,caesar_grunt,20,2,Haemulon_carbonarium,grunt,Haemulidae,Invertivore,0.01622,2.99,251.8607734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,8,coney,30,1,Cephalopholis_fulva,grouper,Serranidae,Omnivore,0.0148,3.04,457.8364124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,9,foureye_butterflyfish,20,1,Chaetodon_capistratus,butterflyfish,Chaetodontidae,Invertivore,0.0234,3.19,330.7512876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,9,blue_tang,20,1,Acanthurus_coeruleus,surgeonfish,Acanthuridae,Omnivore,0.0324,2.95,223.1431181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,9,blue_tang,30,2,Acanthurus_coeruleus,surgeonfish,Acanthuridae,Omnivore,0.0324,2.95,1475.987594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,9,princess_parrotfish_initial,10,1,Scarus_taeniopterus,parrotfish,Scaridae,Herbivore,0.01479,3.03,15.84777052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,9,redband_parrotfish_initial,10,2,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,33.05337854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,12/07/2018,grand_cayman,cemetery,31,aggra,9,redband_parrotfish_initial,20,1,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,146.7000791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
